name,method,threshold,accuracy,tss,iou,dice,optimized_metric
CHASM1111,fixed,0.5,0.9740330576896667,0.7811367522035665,0.5413012016349225,0.6813231758059665,
CHASM1111,optimized,0.8443942153873154,0.978643794854482,0.7331218193713925,0.5680861633712908,0.7022390571599932,balanced
CHASM1111,optimized,0.0019322902469628978,0.9456019202868143,0.8455679582551666,0.397179897060655,0.5508596167117839,tss
CHASM1111,optimized,0.9586107134819031,0.9803726275761923,0.641167503097619,0.5549158445034454,0.6898036062835909,accuracy
CHASM1111,optimized,0.9201454643029061,0.980015238126119,0.6930853269946345,0.569000953774163,0.70226996153,iou
CHASM1407,fixed,0.5,0.9687446554501852,0.7597341048805083,0.49854801856355474,0.6444722908806563,
CHASM1407,optimized,0.7419742097207629,0.9751652876536051,0.7216257767376555,0.5309093658138587,0.6696275878955585,balanced
CHASM1407,optimized,0.017098390417706943,0.9399529695510864,0.8095998315508143,0.37993731547653403,0.5350769224785318,tss
CHASM1407,optimized,0.9695840960171953,0.9789262413978577,0.5471739379971738,0.4950701314631636,0.6288278047999426,accuracy
CHASM1407,optimized,0.9435069791635664,0.9794225096702576,0.6069002372182177,0.5251002095200872,0.6568045702956494,iou
CHASM967,fixed,0.5,0.9718433221181234,0.7633385299911771,0.522732558403369,0.6671041867406865,
CHASM967,optimized,0.7425170007662532,0.9749411344528198,0.7386485630991807,0.5392038330699703,0.6797819323941156,balanced
CHASM967,optimized,0.001967845243593667,0.9404205083847046,0.828088558479843,0.3755132768856666,0.5309914021156213,tss
CHASM967,optimized,0.9798576235771179,0.978689710299174,0.5578759616354048,0.5032395736457597,0.6416227249160197,accuracy
CHASM967,optimized,0.9211132544368938,0.9786481062571207,0.6692213405459233,0.5476124052715033,0.6837201384480486,iou
CHASM1111_finetuned_1e-5,fixed,0.5,0.9274185101191202,0.8199660762294979,0.36080960369453835,0.5152739700926886,
CHASM1111_finetuned_1e-5,optimized,0.9140304042466316,0.9751080671946207,0.7157572206917578,0.535061319679517,0.6774654112311751,balanced
CHASM1111_finetuned_1e-5,optimized,0.5483673505447539,0.9317059318224589,0.8179818990538683,0.37380959738145236,0.5287388514714237,tss
CHASM1111_finetuned_1e-5,optimized,0.968189537525177,0.9790870348612467,0.595341056979413,0.5185692934717717,0.6559108164283638,accuracy
CHASM1111_finetuned_1e-5,optimized,0.9536080009973222,0.9786154826482137,0.6451297311983208,0.535641556230665,0.6735230489016221,iou
CHASM1111_finetuned_1e-6,fixed,0.5,0.9565301338831583,0.7321924370705468,0.4130348392536578,0.5642806754112984,
CHASM1111_finetuned_1e-6,optimized,0.8533835758515949,0.964804987112681,0.6931585253944652,0.4412758159079983,0.5918220219259738,balanced
CHASM1111_finetuned_1e-6,optimized,0.00265600900727336,0.9255883892377218,0.7755222462000528,0.3304409716148586,0.4761332959690295,tss
CHASM1111_finetuned_1e-6,optimized,0.9953705668449402,0.9735968311627706,0.5222571154082222,0.440209989834885,0.5870103289666978,accuracy
CHASM1111_finetuned_1e-6,optimized,0.9792936689889604,0.9719389279683431,0.612819596800394,0.46073145612256994,0.6087163454901345,iou
CHASM1407_finetuned_1e-5,fixed,0.5,0.9459229111671448,0.8123253519345708,0.40509931551392503,0.5612960168617485,
CHASM1407_finetuned_1e-5,optimized,0.8738092495568428,0.9743260939915975,0.7209194058814902,0.5326151875464559,0.676608425012514,balanced
CHASM1407_finetuned_1e-5,optimized,0.39605136492743465,0.9394427935282389,0.8181132836002223,0.3804947522409228,0.5363961507976363,tss
CHASM1407_finetuned_1e-5,optimized,0.9640031343129412,0.977804442246755,0.532939808669861,0.48000336242497976,0.6202110458279845,accuracy
CHASM1407_finetuned_1e-5,optimized,0.9277369029557878,0.9778228998184204,0.6466456955513457,0.5318637095367573,0.6725543335987493,iou
CHASM1407_finetuned_1e-6,fixed,0.5,0.9448417623837789,0.775939801681561,0.42102135068036234,0.5737109622945374,
CHASM1407_finetuned_1e-6,optimized,0.9860028028488159,0.9714209040006002,0.672616460045924,0.4970522707831291,0.6452998064195505,balanced
CHASM1407_finetuned_1e-6,optimized,0.02229631331810089,0.925882895787557,0.7989936638901863,0.37024198011619625,0.5221192771770109,tss
CHASM1407_finetuned_1e-6,optimized,0.9989493489265442,0.9769349296887716,0.5180679974269734,0.46414829363581367,0.6070647935695309,accuracy
CHASM1407_finetuned_1e-6,optimized,0.9977808594703674,0.9768130580584208,0.5716049176303774,0.4892079987935216,0.6331393099295526,iou
